Provider_ID,Name,Specialty,State,Hospital_Affiliation,Years_Experience,Accepts_Medicare,Accepts_Medicaid
PR0033,Dr. Susan Clark,Oncologist,FL,Stanford Medical,11,No,Yes
PR0034,Dr. David Lee,Endocrinologist,FL,Cleveland Clinic,23,Yes,No
PR0035,Dr. Raj Patel,Cardiologist,CA,Baylor Medical,24,No,Yes
PR0036,Dr. Raj Patel,General Physician,FL,Baylor Medical,6,Yes,Yes
PR0037,Dr. Emily Johnson,Oncologist,CA,Baylor Medical,24,Yes,Yes
PR0038,Dr. Raj Patel,Cardiologist,FL,Cleveland Clinic,14,No,No
PR0039,Dr. David Lee,General Physician,IL,Mount Sinai,22,No,No
PR0040,Dr. Susan Clark,Neurologist,IL,Mount Sinai,23,Yes,Yes
PR0041,Dr. David Lee,Endocrinologist,NY,Baylor Medical,9,No,Yes
PR0042,Dr. Susan Clark,Oncologist,FL,Mount Sinai,9,No,No
PR0043,Dr. David Lee,Cardiologist,IL,Stanford Medical,25,Yes,No
PR0044,Dr. David Lee,Neurologist,CA,Mount Sinai,13,No,No
PR0045,Dr. Raj Patel,Neurologist,FL,Stanford Medical,10,No,Yes
PR0046,Dr. David Lee,Neurologist,CA,Baylor Medical,8,No,No
PR0047,Dr. Lisa Chen,Endocrinologist,IL,Baylor Medical,10,No,Yes
PR0048,Dr. Raj Patel,General Physician,TX,Baylor Medical,10,No,No
PR0049,Dr. Emily Johnson,General Physician,FL,Mount Sinai,12,Yes,Yes
PR0050,Dr. David Lee,General Physician,TX,Stanford Medical,15,No,Yes
PR0051,Dr. David Lee,Neurologist,NY,Cleveland Clinic,14,No,Yes
PR0052,Dr. Lisa Chen,General Physician,TX,Cleveland Clinic,29,No,No
PR0053,Dr. Lisa Chen,Cardiologist,TX,Baylor Medical,30,No,Yes
PR0054,Dr. Susan Clark,Oncologist,TX,Cleveland Clinic,19,No,No
PR0055,Dr. David Lee,Neurologist,IL,Stanford Medical,8,Yes,No
PR0056,Dr. Lisa Chen,General Physician,NY,Mayo Clinic,22,No,No
PR0057,Dr. Emily Johnson,Cardiologist,CA,Cleveland Clinic,11,Yes,No
PR0058,Dr. Raj Patel,Neurologist,CA,Baylor Medical,20,Yes,Yes
PR0059,Dr. Raj Patel,Oncologist,FL,Baylor Medical,5,Yes,No
PR0060,Dr. Emily Johnson,Oncologist,FL,Mayo Clinic,21,Yes,Yes
PR0061,Dr. Susan Clark,Oncologist,NY,Baylor Medical,7,No,No
PR0062,Dr. Emily Johnson,Endocrinologist,TX,Stanford Medical,13,Yes,Yes
PR0063,Dr. David Lee,Endocrinologist,IL,Cleveland Clinic,30,No,No
PR0064,Dr. David Lee,Neurologist,IL,Baylor Medical,14,No,No
PR0065,Dr. Raj Patel,Neurologist,CA,Mount Sinai,15,No,Yes
PR0066,Dr. Raj Patel,General Physician,FL,Baylor Medical,29,No,No
PR0067,Dr. Raj Patel,Cardiologist,CA,Stanford Medical,18,Yes,Yes
PR0068,Dr. Susan Clark,Cardiologist,TX,Mayo Clinic,14,Yes,Yes
PR0069,Dr. Emily Johnson,Endocrinologist,IL,Stanford Medical,21,No,Yes
PR0070,Dr. Raj Patel,Endocrinologist,FL,Mayo Clinic,30,Yes,No
PR0071,Dr. David Lee,Cardiologist,NY,Mayo Clinic,8,No,No
PR0072,Dr. Lisa Chen,General Physician,FL,Mayo Clinic,11,Yes,Yes
PR0073,Dr. David Lee,General Physician,TX,Cleveland Clinic,27,No,No
PR0074,Dr. Susan Clark,Endocrinologist,TX,Baylor Medical,8,Yes,Yes
PR0075,Dr. David Lee,Cardiologist,TX,Stanford Medical,29,No,Yes
PR0076,Dr. David Lee,Oncologist,IL,Mayo Clinic,18,No,Yes
PR0077,Dr. Emily Johnson,Endocrinologist,TX,Mount Sinai,30,No,No
PR0078,Dr. Lisa Chen,Neurologist,IL,Cleveland Clinic,7,No,Yes
PR0079,Dr. Raj Patel,General Physician,FL,Mayo Clinic,28,Yes,No
PR0080,Dr. Lisa Chen,Endocrinologist,TX,Stanford Medical,9,No,No
PR0081,Dr. Raj Patel,Oncologist,NY,Cleveland Clinic,25,No,Yes
PR0082,Dr. Emily Johnson,Endocrinologist,TX,Mayo Clinic,13,Yes,No
PR0083,Dr. Emily Johnson,Oncologist,FL,Mount Sinai,12,No,Yes
PR0084,Dr. Lisa Chen,Oncologist,NY,Cleveland Clinic,30,No,Yes
PR0085,Dr. Susan Clark,General Physician,TX,Stanford Medical,21,No,No
PR0086,Dr. Emily Johnson,Endocrinologist,CA,Stanford Medical,5,No,Yes
PR0087,Dr. David Lee,Oncologist,CA,Mayo Clinic,7,Yes,No
PR0088,Dr. Raj Patel,Cardiologist,IL,Mayo Clinic,23,Yes,No
PR0089,Dr. Emily Johnson,Cardiologist,FL,Stanford Medical,25,No,Yes
PR0090,Dr. Lisa Chen,General Physician,IL,Mount Sinai,11,Yes,No
PR0091,Dr. Raj Patel,Oncologist,CA,Mount Sinai,5,No,Yes
PR0092,Dr. Lisa Chen,Endocrinologist,TX,Baylor Medical,26,No,No
PR0093,Dr. Lisa Chen,Cardiologist,IL,Stanford Medical,22,Yes,No
PR0094,Dr. Lisa Chen,General Physician,CA,Baylor Medical,16,No,Yes
PR0095,Dr. Emily Johnson,Neurologist,NY,Baylor Medical,22,Yes,No
PR0096,Dr. Emily Johnson,Endocrinologist,NY,Cleveland Clinic,9,No,No
PR0097,Dr. Emily Johnson,General Physician,TX,Baylor Medical,22,Yes,No
PR0098,Dr. Susan Clark,Cardiologist,FL,Stanford Medical,24,Yes,Yes
PR0099,Dr. Emily Johnson,Oncologist,IL,Stanford Medical,16,Yes,Yes
PR0100,Dr. Lisa Chen,General Physician,CA,Mayo Clinic,15,Yes,Yes
PR0101,Dr. Emily Johnson,Cardiologist,NY,Baylor Medical,29,Yes,No
PR0102,Dr. David Lee,General Physician,CA,Baylor Medical,16,Yes,No
PR0103,Dr. David Lee,Endocrinologist,IL,Mayo Clinic,5,No,Yes
PR0104,Dr. Lisa Chen,Neurologist,IL,Cleveland Clinic,24,Yes,Yes
PR0105,Dr. Susan Clark,Cardiologist,CA,Mayo Clinic,6,No,Yes
PR0106,Dr. Raj Patel,General Physician,TX,Mayo Clinic,6,Yes,Yes
PR0107,Dr. Emily Johnson,Oncologist,TX,Stanford Medical,18,Yes,No
PR0108,Dr. Lisa Chen,Endocrinologist,FL,Cleveland Clinic,10,No,Yes
PR0109,Dr. Emily Johnson,Cardiologist,NY,Stanford Medical,5,Yes,Yes
PR0110,Dr. Emily Johnson,Cardiologist,NY,Mayo Clinic,7,No,No
PR0111,Dr. Susan Clark,Cardiologist,CA,Mount Sinai,29,Yes,No
PR0112,Dr. David Lee,Endocrinologist,CA,Stanford Medical,16,No,Yes
PR0113,Dr. Raj Patel,Neurologist,CA,Baylor Medical,15,No,Yes
PR0114,Dr. Susan Clark,Endocrinologist,TX,Mount Sinai,18,No,Yes
PR0115,Dr. Raj Patel,Neurologist,TX,Mount Sinai,18,No,No
PR0116,Dr. David Lee,Endocrinologist,TX,Stanford Medical,14,No,No
PR0117,Dr. Susan Clark,General Physician,TX,Cleveland Clinic,13,No,No
PR0118,Dr. Raj Patel,Neurologist,NY,Mayo Clinic,15,No,Yes
PR0119,Dr. Raj Patel,Neurologist,NY,Baylor Medical,25,No,No
PR0120,Dr. Raj Patel,Oncologist,FL,Cleveland Clinic,16,Yes,No
PR0121,Dr. Lisa Chen,Neurologist,IL,Baylor Medical,7,No,No
PR0122,Dr. Raj Patel,Oncologist,TX,Cleveland Clinic,15,No,Yes
PR0123,Dr. David Lee,Neurologist,TX,Stanford Medical,6,No,Yes
PR0124,Dr. Raj Patel,General Physician,FL,Stanford Medical,27,No,No
PR0125,Dr. Emily Johnson,Endocrinologist,IL,Mayo Clinic,14,No,Yes
PR0126,Dr. David Lee,Neurologist,FL,Mayo Clinic,14,No,No
PR0127,Dr. Emily Johnson,Neurologist,FL,Cleveland Clinic,15,Yes,No
PR0128,Dr. Susan Clark,Oncologist,IL,Mayo Clinic,5,Yes,Yes
PR0129,Dr. Emily Johnson,Oncologist,CA,Baylor Medical,28,No,Yes
PR0130,Dr. David Lee,Endocrinologist,FL,Mount Sinai,18,Yes,No
PR0131,Dr. Raj Patel,Cardiologist,NY,Baylor Medical,21,No,No
PR0132,Dr. Raj Patel,General Physician,CA,Mount Sinai,9,No,Yes
PR0133,Dr. Raj Patel,Endocrinologist,NY,Stanford Medical,8,Yes,No
PR0134,Dr. Susan Clark,General Physician,IL,Baylor Medical,15,No,No
PR0135,Dr. Raj Patel,Neurologist,IL,Stanford Medical,27,Yes,No
PR0136,Dr. Emily Johnson,Oncologist,NY,Stanford Medical,27,No,Yes
PR0137,Dr. Susan Clark,Neurologist,FL,Mount Sinai,20,No,Yes
PR0138,Dr. Emily Johnson,Oncologist,FL,Cleveland Clinic,20,No,No
PR0139,Dr. Susan Clark,General Physician,FL,Stanford Medical,24,No,Yes
PR0140,Dr. Susan Clark,Endocrinologist,NY,Baylor Medical,27,Yes,No
PR0141,Dr. David Lee,Oncologist,FL,Cleveland Clinic,18,Yes,Yes
PR0142,Dr. Raj Patel,Oncologist,CA,Mayo Clinic,16,Yes,Yes
PR0143,Dr. Emily Johnson,Cardiologist,CA,Mayo Clinic,7,Yes,No
PR0144,Dr. Susan Clark,General Physician,CA,Mayo Clinic,29,No,Yes
PR0145,Dr. Susan Clark,Cardiologist,CA,Baylor Medical,30,No,Yes
PR0146,Dr. Emily Johnson,Oncologist,TX,Baylor Medical,27,No,Yes
PR0147,Dr. Emily Johnson,Cardiologist,NY,Stanford Medical,7,No,No
PR0148,Dr. David Lee,General Physician,NY,Stanford Medical,22,No,Yes
PR0149,Dr. David Lee,Cardiologist,TX,Mayo Clinic,20,Yes,Yes
PR0150,Dr. Emily Johnson,Cardiologist,TX,Mayo Clinic,22,Yes,No
PR0151,Dr. Emily Johnson,Endocrinologist,CA,Mount Sinai,7,Yes,Yes
PR0152,Dr. Lisa Chen,General Physician,IL,Mount Sinai,10,Yes,No
PR0153,Dr. Lisa Chen,Endocrinologist,CA,Baylor Medical,25,Yes,Yes
PR0154,Dr. Lisa Chen,Cardiologist,CA,Cleveland Clinic,12,No,Yes
PR0155,Dr. Raj Patel,Neurologist,CA,Stanford Medical,26,No,Yes
PR0156,Dr. Susan Clark,Endocrinologist,IL,Stanford Medical,6,No,No
PR0157,Dr. Emily Johnson,Cardiologist,NY,Cleveland Clinic,10,Yes,No
PR0158,Dr. Susan Clark,Endocrinologist,NY,Mount Sinai,17,Yes,No
PR0159,Dr. Lisa Chen,Oncologist,NY,Mount Sinai,27,Yes,Yes
PR0160,Dr. Susan Clark,Oncologist,IL,Cleveland Clinic,21,Yes,No
PR0161,Dr. Susan Clark,Endocrinologist,NY,Stanford Medical,17,No,No
PR0162,Dr. Susan Clark,General Physician,TX,Mayo Clinic,27,No,No
PR0163,Dr. David Lee,Endocrinologist,NY,Cleveland Clinic,15,No,Yes
PR0164,Dr. Emily Johnson,Endocrinologist,FL,Cleveland Clinic,16,Yes,Yes
PR0165,Dr. David Lee,General Physician,CA,Baylor Medical,22,Yes,Yes
PR0166,Dr. Susan Clark,Neurologist,FL,Mount Sinai,7,Yes,No
PR0167,Dr. Susan Clark,Cardiologist,CA,Mayo Clinic,13,No,No
PR0168,Dr. Emily Johnson,Oncologist,IL,Stanford Medical,19,No,Yes
PR0169,Dr. David Lee,Neurologist,NY,Mount Sinai,22,Yes,No
PR0170,Dr. Emily Johnson,General Physician,NY,Mayo Clinic,6,No,No
PR0171,Dr. Raj Patel,Cardiologist,CA,Mount Sinai,15,Yes,Yes
PR0172,Dr. David Lee,Oncologist,CA,Stanford Medical,29,Yes,No
PR0173,Dr. Susan Clark,General Physician,TX,Cleveland Clinic,28,No,Yes
PR0174,Dr. Emily Johnson,General Physician,CA,Stanford Medical,22,No,No
PR0175,Dr. Raj Patel,Cardiologist,CA,Baylor Medical,28,No,Yes
PR0176,Dr. Raj Patel,General Physician,TX,Stanford Medical,9,No,No
PR0177,Dr. Raj Patel,Endocrinologist,FL,Stanford Medical,23,Yes,No
PR0178,Dr. Lisa Chen,Neurologist,IL,Baylor Medical,9,Yes,No
PR0179,Dr. Susan Clark,Endocrinologist,IL,Mount Sinai,7,No,Yes
PR0180,Dr. Emily Johnson,Endocrinologist,IL,Mount Sinai,26,No,No
PR0181,Dr. Emily Johnson,General Physician,TX,Baylor Medical,24,No,Yes
PR0182,Dr. Lisa Chen,Oncologist,NY,Mount Sinai,21,No,No
PR0183,Dr. Raj Patel,Cardiologist,FL,Cleveland Clinic,25,No,Yes
PR0184,Dr. Raj Patel,Cardiologist,FL,Mayo Clinic,16,No,Yes
PR0185,Dr. Raj Patel,Oncologist,TX,Mount Sinai,9,Yes,Yes
PR0186,Dr. Lisa Chen,Endocrinologist,IL,Mayo Clinic,18,Yes,No
PR0187,Dr. Emily Johnson,Oncologist,FL,Baylor Medical,30,No,No
PR0188,Dr. Raj Patel,General Physician,FL,Stanford Medical,5,No,Yes
PR0189,Dr. Emily Johnson,Cardiologist,NY,Cleveland Clinic,18,No,No
PR0190,Dr. David Lee,Cardiologist,CA,Mayo Clinic,13,No,No
PR0191,Dr. Raj Patel,Neurologist,FL,Baylor Medical,7,Yes,No
PR0192,Dr. Susan Clark,Neurologist,IL,Cleveland Clinic,8,No,No
PR0193,Dr. Susan Clark,General Physician,IL,Stanford Medical,30,Yes,Yes
PR0194,Dr. Raj Patel,Oncologist,IL,Cleveland Clinic,9,Yes,Yes
PR0195,Dr. David Lee,Endocrinologist,CA,Cleveland Clinic,30,No,Yes
PR0196,Dr. David Lee,Oncologist,IL,Mayo Clinic,12,No,Yes
PR0197,Dr. Raj Patel,Oncologist,NY,Baylor Medical,5,No,No
PR0198,Dr. Raj Patel,General Physician,IL,Mayo Clinic,16,Yes,No
PR0199,Dr. Susan Clark,Cardiologist,CA,Mount Sinai,6,No,No
PR0200,Dr. Susan Clark,Endocrinologist,TX,Stanford Medical,26,Yes,No
PR0201,Dr. Lisa Chen,General Physician,IL,Mayo Clinic,10,No,Yes
PR0202,Dr. Lisa Chen,Oncologist,FL,Stanford Medical,23,Yes,Yes
PR0203,Dr. Emily Johnson,Endocrinologist,FL,Cleveland Clinic,11,Yes,Yes
PR0204,Dr. Susan Clark,Endocrinologist,CA,Baylor Medical,7,Yes,No
PR0205,Dr. Emily Johnson,Neurologist,FL,Mayo Clinic,16,No,Yes
PR0206,Dr. Raj Patel,Cardiologist,IL,Mayo Clinic,30,Yes,Yes
PR0207,Dr. Susan Clark,General Physician,TX,Baylor Medical,10,No,No
PR0208,Dr. Emily Johnson,Neurologist,FL,Mount Sinai,9,No,No
PR0209,Dr. Raj Patel,Oncologist,CA,Baylor Medical,15,Yes,Yes
PR0210,Dr. David Lee,Cardiologist,IL,Baylor Medical,20,Yes,Yes
PR0211,Dr. David Lee,Oncologist,IL,Baylor Medical,25,No,No
PR0212,Dr. Emily Johnson,Cardiologist,TX,Baylor Medical,27,Yes,Yes
PR0213,Dr. Emily Johnson,Neurologist,NY,Mount Sinai,22,No,No
PR0214,Dr. Emily Johnson,General Physician,TX,Stanford Medical,9,Yes,No
PR0215,Dr. Susan Clark,Cardiologist,TX,Stanford Medical,9,No,Yes
PR0216,Dr. David Lee,Neurologist,NY,Mount Sinai,14,No,Yes
PR0217,Dr. Susan Clark,Endocrinologist,CA,Stanford Medical,30,No,No
PR0218,Dr. Lisa Chen,Cardiologist,IL,Stanford Medical,6,No,No
PR0219,Dr. Emily Johnson,Endocrinologist,NY,Baylor Medical,8,Yes,No
PR0220,Dr. Susan Clark,Cardiologist,IL,Baylor Medical,7,No,Yes
PR0221,Dr. Emily Johnson,Oncologist,IL,Stanford Medical,14,No,Yes
PR0222,Dr. Emily Johnson,Oncologist,NY,Mount Sinai,20,Yes,No
PR0223,Dr. David Lee,General Physician,CA,Stanford Medical,20,Yes,Yes
PR0224,Dr. Susan Clark,Oncologist,IL,Stanford Medical,29,Yes,Yes
PR0225,Dr. David Lee,Neurologist,FL,Mayo Clinic,22,Yes,Yes
PR0226,Dr. Susan Clark,Endocrinologist,FL,Mayo Clinic,7,Yes,Yes
PR0227,Dr. Susan Clark,Neurologist,TX,Baylor Medical,17,No,Yes
PR0228,Dr. Emily Johnson,Endocrinologist,NY,Mayo Clinic,23,No,No
PR0229,Dr. Emily Johnson,Cardiologist,CA,Baylor Medical,22,Yes,No
PR0230,Dr. Raj Patel,General Physician,FL,Mount Sinai,6,No,No
PR0231,Dr. Lisa Chen,Cardiologist,FL,Baylor Medical,15,No,No
PR0232,Dr. Lisa Chen,Endocrinologist,NY,Mount Sinai,19,Yes,No
PR0233,Dr. Raj Patel,General Physician,FL,Stanford Medical,13,Yes,Yes
PR0234,Dr. Raj Patel,Neurologist,TX,Mount Sinai,13,Yes,No
PR0235,Dr. Lisa Chen,General Physician,NY,Baylor Medical,28,No,Yes
PR0236,Dr. Susan Clark,Oncologist,IL,Cleveland Clinic,5,Yes,No
PR0237,Dr. Lisa Chen,Cardiologist,TX,Cleveland Clinic,30,Yes,Yes
PR0238,Dr. Susan Clark,Oncologist,IL,Mayo Clinic,12,No,No
PR0239,Dr. Raj Patel,Oncologist,NY,Baylor Medical,16,No,Yes
PR0240,Dr. Lisa Chen,General Physician,IL,Mayo Clinic,25,Yes,No
PR0241,Dr. Emily Johnson,Endocrinologist,IL,Baylor Medical,29,Yes,Yes
PR0242,Dr. Lisa Chen,Oncologist,IL,Mayo Clinic,10,Yes,No
PR0243,Dr. Susan Clark,Cardiologist,CA,Mayo Clinic,18,Yes,Yes
PR0244,Dr. Lisa Chen,Oncologist,TX,Stanford Medical,19,No,Yes
PR0245,Dr. David Lee,Neurologist,TX,Baylor Medical,10,Yes,Yes
PR0246,Dr. Emily Johnson,Oncologist,FL,Mount Sinai,25,Yes,No
PR0247,Dr. David Lee,Oncologist,TX,Mayo Clinic,26,No,No
PR0248,Dr. David Lee,Endocrinologist,FL,Baylor Medical,20,Yes,No
PR0249,Dr. Emily Johnson,Oncologist,IL,Mount Sinai,23,No,No
PR0250,Dr. Lisa Chen,Cardiologist,IL,Mayo Clinic,10,Yes,Yes
PR0251,Dr. Raj Patel,General Physician,IL,Cleveland Clinic,26,Yes,No
PR0252,Dr. David Lee,Neurologist,FL,Mount Sinai,8,Yes,No
PR0253,Dr. David Lee,Cardiologist,FL,Baylor Medical,28,Yes,No
PR0254,Dr. Susan Clark,Neurologist,IL,Mayo Clinic,16,No,No
PR0255,Dr. Raj Patel,General Physician,CA,Mayo Clinic,24,No,Yes
PR0256,Dr. Raj Patel,Endocrinologist,CA,Mount Sinai,26,No,Yes
PR0257,Dr. Susan Clark,Oncologist,IL,Baylor Medical,25,Yes,No
PR0258,Dr. Lisa Chen,Endocrinologist,IL,Mount Sinai,29,No,No
PR0259,Dr. Susan Clark,Cardiologist,CA,Stanford Medical,18,No,No
PR0260,Dr. Emily Johnson,General Physician,IL,Cleveland Clinic,17,No,No
PR0261,Dr. Susan Clark,Oncologist,NY,Mount Sinai,23,Yes,No
PR0262,Dr. Susan Clark,General Physician,CA,Mount Sinai,13,No,Yes
PR0263,Dr. David Lee,Oncologist,TX,Stanford Medical,29,No,Yes
PR0264,Dr. Emily Johnson,Cardiologist,NY,Baylor Medical,6,Yes,No
PR0265,Dr. Raj Patel,General Physician,CA,Mayo Clinic,15,No,Yes
PR0266,Dr. Raj Patel,Neurologist,TX,Cleveland Clinic,9,Yes,Yes
PR0267,Dr. Emily Johnson,General Physician,NY,Baylor Medical,7,Yes,No
PR0268,Dr. Emily Johnson,Neurologist,TX,Mount Sinai,18,Yes,No
PR0269,Dr. Lisa Chen,Endocrinologist,TX,Mount Sinai,6,No,No
PR0270,Dr. Susan Clark,Cardiologist,TX,Stanford Medical,12,Yes,Yes
PR0271,Dr. Emily Johnson,Oncologist,CA,Mount Sinai,30,No,No
PR0272,Dr. Lisa Chen,Neurologist,TX,Stanford Medical,24,Yes,Yes
PR0273,Dr. Susan Clark,Endocrinologist,NY,Baylor Medical,10,No,No
PR0274,Dr. Raj Patel,Cardiologist,TX,Stanford Medical,9,No,No
PR0275,Dr. Lisa Chen,Neurologist,CA,Cleveland Clinic,11,Yes,Yes
PR0276,Dr. David Lee,Oncologist,TX,Stanford Medical,29,No,Yes
PR0277,Dr. Susan Clark,Cardiologist,IL,Mayo Clinic,10,Yes,Yes
PR0278,Dr. Lisa Chen,Neurologist,FL,Mount Sinai,26,Yes,No
PR0279,Dr. David Lee,Cardiologist,TX,Cleveland Clinic,6,No,No
PR0280,Dr. Lisa Chen,Endocrinologist,FL,Mount Sinai,28,No,No
PR0281,Dr. Emily Johnson,Oncologist,CA,Stanford Medical,7,No,No
PR0282,Dr. Emily Johnson,Oncologist,TX,Cleveland Clinic,23,Yes,No
PR0283,Dr. Emily Johnson,Endocrinologist,CA,Baylor Medical,8,Yes,Yes
PR0284,Dr. Emily Johnson,Neurologist,NY,Mayo Clinic,21,No,No
PR0285,Dr. Susan Clark,Neurologist,CA,Stanford Medical,17,Yes,No
PR0286,Dr. David Lee,Neurologist,CA,Mount Sinai,10,No,Yes
PR0287,Dr. Susan Clark,Oncologist,TX,Mayo Clinic,15,No,No
PR0288,Dr. Susan Clark,Oncologist,NY,Baylor Medical,13,No,No
PR0289,Dr. David Lee,Endocrinologist,NY,Mount Sinai,23,No,No
PR0290,Dr. Lisa Chen,Neurologist,FL,Mount Sinai,18,No,Yes
PR0291,Dr. Emily Johnson,Endocrinologist,FL,Mayo Clinic,21,Yes,No
PR0292,Dr. David Lee,General Physician,IL,Mayo Clinic,25,Yes,Yes
PR0293,Dr. Lisa Chen,Cardiologist,NY,Cleveland Clinic,6,No,No
PR0294,Dr. David Lee,Endocrinologist,TX,Mount Sinai,25,Yes,Yes
PR0295,Dr. Lisa Chen,Endocrinologist,IL,Cleveland Clinic,9,No,No
PR0296,Dr. Raj Patel,Neurologist,IL,Cleveland Clinic,26,No,No
PR0297,Dr. Lisa Chen,Neurologist,CA,Mayo Clinic,29,Yes,No
PR0298,Dr. Emily Johnson,Neurologist,FL,Stanford Medical,18,Yes,No
PR0299,Dr. David Lee,Endocrinologist,CA,Mayo Clinic,8,Yes,Yes
PR0300,Dr. David Lee,Cardiologist,CA,Mount Sinai,26,Yes,No
PR0301,Dr. Lisa Chen,Neurologist,FL,Stanford Medical,11,No,Yes
PR0302,Dr. David Lee,Cardiologist,IL,Stanford Medical,15,Yes,Yes
PR0303,Dr. Raj Patel,General Physician,FL,Mount Sinai,30,No,Yes
PR0304,Dr. Raj Patel,Endocrinologist,NY,Baylor Medical,17,Yes,No
PR0305,Dr. Emily Johnson,General Physician,TX,Baylor Medical,27,Yes,Yes
PR0306,Dr. Emily Johnson,Neurologist,FL,Stanford Medical,9,Yes,Yes
PR0307,Dr. David Lee,Cardiologist,CA,Mayo Clinic,29,Yes,No
PR0308,Dr. Lisa Chen,Cardiologist,IL,Mount Sinai,27,No,No
PR0309,Dr. Raj Patel,Endocrinologist,CA,Mayo Clinic,16,No,Yes
PR0310,Dr. Raj Patel,General Physician,IL,Cleveland Clinic,19,No,Yes
PR0311,Dr. Susan Clark,Neurologist,IL,Cleveland Clinic,20,No,No
PR0312,Dr. Raj Patel,Oncologist,IL,Mount Sinai,23,No,No
PR0313,Dr. David Lee,Endocrinologist,TX,Baylor Medical,19,No,Yes
PR0314,Dr. David Lee,Endocrinologist,FL,Mount Sinai,17,No,Yes
PR0315,Dr. David Lee,Cardiologist,IL,Mayo Clinic,17,No,No
PR0316,Dr. Raj Patel,General Physician,CA,Mount Sinai,14,No,Yes
PR0317,Dr. Raj Patel,Oncologist,FL,Mayo Clinic,7,No,No
PR0318,Dr. Susan Clark,Endocrinologist,CA,Cleveland Clinic,9,No,No
PR0319,Dr. Emily Johnson,Cardiologist,FL,Cleveland Clinic,26,Yes,Yes
PR0320,Dr. Emily Johnson,Endocrinologist,IL,Stanford Medical,14,No,Yes
PR0321,Dr. Raj Patel,Neurologist,TX,Mayo Clinic,17,No,Yes
PR0322,Dr. Raj Patel,Neurologist,FL,Baylor Medical,21,Yes,Yes
PR0323,Dr. David Lee,General Physician,TX,Cleveland Clinic,19,No,No
PR0324,Dr. Lisa Chen,Oncologist,CA,Stanford Medical,18,Yes,No
PR0325,Dr. Lisa Chen,Oncologist,TX,Cleveland Clinic,25,Yes,Yes
PR0326,Dr. Emily Johnson,General Physician,IL,Baylor Medical,18,No,No
PR0327,Dr. David Lee,Neurologist,NY,Stanford Medical,10,No,No
PR0328,Dr. David Lee,General Physician,TX,Cleveland Clinic,23,Yes,Yes
PR0329,Dr. Lisa Chen,General Physician,CA,Mount Sinai,5,Yes,Yes
PR0330,Dr. David Lee,Oncologist,IL,Baylor Medical,7,No,Yes
PR0331,Dr. David Lee,Neurologist,TX,Stanford Medical,25,Yes,Yes
PR0332,Dr. David Lee,Cardiologist,CA,Stanford Medical,9,No,Yes
